Magnitude,Region,DateTime_UTC,Depth_km,Latitude,Longitude,Event_ID
5.2,"Southeast of Honshu, Japan",10/17/2025 20:28,416,29.84,139.06,gfz2025ujox
4.5,"Eastern Honshu, Japan",10/15/2025 8:50,70,38.81,140.84,gfz2025ufaw
4.6,"Southeast of Honshu, Japan",10/14/2025 23:29,442,30.41,138.27,gfz2025ueij
4.8,"Near West Coast of Honshu, Japan",10/14/2025 3:34,10,39.66,139.42,gfz2025ucuy
4.7,"Near East Coast of Honshu, Japan",10/13/2025 3:25,63,38.66,142.42,gfz2025uaze
4.8,"Ryukyu Islands, Japan",10/11/2025 14:24,86,27.17,127.7,gfz2025tydw
4.8,"Southeast of Honshu, Japan",10/11/2025 3:22,445,30.39,138.44,gfz2025txia
5.3,"Ryukyu Islands, Japan",10/7/2025 21:38,10,29.34,129.1,gfz2025trkf
4.8,"Off East Coast of Honshu, Japan",10/7/2025 1:17,10,37.77,144.19,gfz2025tpvx
5.1,"Near East Coast of Honshu, Japan",10/7/2025 0:30,53,37.58,141.27,gfz2025tpuj
4.5,"Bonin Islands, Japan Region",10/6/2025 20:02,461,27.19,140.39,gfz2025tpln
4.7,"Off East Coast of Honshu, Japan",10/6/2025 18:25,10,37.69,144.21,gfz2025tpii
5,"Off East Coast of Honshu, Japan",10/6/2025 14:58,10,37.7,144.16,gfz2025tpbm
4.9,"Off East Coast of Honshu, Japan",10/6/2025 14:20,10,37.7,144.19,gfz2025tpag
4.7,"Near East Coast of Honshu, Japan",10/3/2025 3:48,103,35.51,140.04,gfz2025tisw
4.8,"Near East Coast of Honshu, Japan",10/4/2025 14:15,41,39.71,142.16,gfz2025tljb
4.8,"Near East Coast of Honshu, Japan",10/1/2025 14:50,60,38.76,141.98,gfz2025tfxs
4.6,"Off East Coast of Honshu, Japan",10/1/2025 17:40,10,37.81,144.12,gfz2025tgdi
4.7,"Off East Coast of Honshu, Japan",9/28/2025 1:36,10,37.7,144.17,gfz2025szla
4.8,"Southwestern Ryukyu Islands, Japan",9/28/2025 21:23,58,24.34,123.31,gfz2025taye
4.2,"Near East Coast of Honshu, Japan",9/24/2025 18:03,54,38.92,142.14,gfz2025stjo
4.8,"Off East Coast of Honshu, Japan",9/27/2025 13:37,10,37.79,144.14,gfz2025synh
4.9,"Ryukyu Islands, Japan",9/20/2025 4:46,10,24.11,126.12,gfz2025slbg
4.8,"Ryukyu Islands, Japan",9/23/2025 17:08,133,28.89,128.73,gfz2025srmg
5,"Ryukyu Islands, Japan",9/17/2025 12:55,33,29.6,129.71,gfz2025sgew
4.6,"Ryukyu Islands, Japan",9/17/2025 13:00,52,29.42,129.93,gfz2025sgfb
4.8,"Near East Coast of Honshu, Japan",9/15/2025 4:34,50,38.41,142.11,gfz2025sbxj
